label,text
"وصول البطاقة","أرغب في معرفة ما حدث لبطاقتي الجديدة؟"
"رفض التحويل","تحويل مصاريي انرفض ليش هيك صار؟"
"في انتظار التعبئة","ممكن توضولي ليه لسا ما صلحتوا تعبئة الرصيد؟"
"فشل التعبئة","ما صار موافقة على بطاقتي الائتمان لمعاملة زيادة الرصيد. شو الي صار؟"
"الهاتف المفقود أو المسروق","التلفون ضاع، ما بدي حدا يعرف معلومات الحساب."
"تعبئة تلقائية","عندما أسافر ، هل يمكن شحنه تلقائيا"
"البطاقات والعملات المدعومة","بتقدر تقبل بطاقتي الثانية من أمريكا؟ هي الاشي الثاني الوحيد اللي بملكه."
"تعبئة الرصيد نقدًا أو بشيك","أحاول استخدام شيكا لإعادة تعبئة رصيدي"
"استرداد الأموال غير مرئي","متى راح يرجعن المصاري لحسابي"
"نسيان رمز المرور","لا يمكنني تسجيل الدخول إلى حسابي لأنني فقدت كلمة المرور الخاصة بي."
"حدود التعبئة","هل هناك حد أقصى للتعبئة؟"
"لم يستلم المستلم التحويل","لقد ارسلت لشخص حوالة اموال لكن لم يستطع رؤيتها لماذا؟"
"طلب استرداد","كيف ابلش عملية ترجيع الاموال"
"إلغاء التحويل","لقد أخطأت في آخر تحويل قمت به ، فمن يجب أن أتحدث معه لإلغاء ذلك؟"
"الحصول على بطاقة احتياطية","كيف أطلب المزيد من البطاقات الفعلية؟"
"الحصول على بطاقة احتياطية","هل يمكن لابنتي أيضا إصدار بطاقة باسمها ولكنها مرتبطة بحسابي؟"
"الحصول على بطاقة فعلية","استنيت كتير و لهلأ ما وصلني رقمي السري هون."
"تحرير التفاصيل الشخصية","لقد أقمت للتو حفل زفاف وأريد أن أختار اسم زوجتي."
"رفض السحب النقدي","حاولت الحصول على نقود من جهاز الصراف الآلي ولكن لم يتم التصريح بذلك"
"نقل إلى الحساب","ممكن توضحلي كيف بعمل تحويل لحسابي ؟"
"الحصول على بطاقة افتراضية","كيف بقدر اطلب بطاقة افتراضية"
"طلب استرداد","بزبط ارجع حق اشي شريتو ؟"
"الحصول على بطاقة احتياطية","أود الحصول على بطاقات فعلية إضافية في هذا الوقت!"
"الحصول على بطاقة افتراضية","أين بطاقتي الافتراضية؟"
"الدفع بالبطاقة المعلق","كنت أتساءل ما هي المدة التي تستغرقها عملية الدفع؟ يبدو أن دفعتي الأخيرة متوقفة ولم تتحرك."
"السحب النقدي غير معترف به","لماذا يظهر التطبيق عملية سحب لم أجريها؟"
"الصرف عبر التطبيق","هل يمكنني استخدام هذا التطبيق لتبادل العملات؟"
"الدفع بالبطاقة المعلق","ليش الدفع اللي صار من بطاقتي لسا ما تحول ع حسابي؟"
"تم التحصيل مرتين","أعتقد أن هناك خطأ. قد تم تحصيل الرسوم مني مرتين."
"البطاقة الافتراضية لا تعمل","مش راضية بطاقتي الافتراضية الي لمرة وحدة تشتغل"
"لم يتم تحديث الرصيد بعد الشيك أو الإيداع النقدي","لقد قمت بإيداع النقود ولكنها لا تظهر في حسابي."
"ابتلاع البطاقة","ايش اعمل بطاقتي ظلت جوا الصراف الآلي؟"
"دعم أجهزة الصراف الآلي","هل يمكنني استخدام بطاقتي للسحب من حسابي؟"
"بطاقة مخترقة","بيانات بطاقتي انعرفت"
"في انتظار التعبئة","قم بفرز رصيدك من فضلك! لقد كان معلقا منذ ساعة بالفعل ، هل يمكنك من فضلك إجراء ذلك في أسرع وقت ممكن ، أنا حقا بحاجة إلى المال"
"تعبئة الرصيد نقدًا أو بشيك","سأرسل شيكا لتعبئة حسابي"
"تلقي الأموال","أتقاضى راتبي من صاحب العمل بالجنيه الإسترليني ؛ هل أحتاج إلى فعل أي شيء في التطبيق للإشارة إلى ذلك؟"
"تم التحصيل مرتين","لاحظت تحصيل عمولة مرات عدة مقابل خدمة واحدة"
"تحقق من هويتي","أين أذهب في التطبيق للتحقق من هويتي؟"
"رسوم إضافية على كشف الحساب","شايف دولار زيادة موجود على حسابي بدي تفسير."
"تقدير تسليم البطاقة","كم بدها وقت لتوصلني؟"
"تحقق من تعبئة الرصيد","لما بدي أعبي البطاقة، من وين أتحقق؟"
"سعر الصرف الخاطئ للدفع بالبطاقة","ليش سعر الصرف بختلف في عملية الشراء الي تمت حديثا؟"
"دعم أجهزة الصراف الآلي","كيف بقدر اعرف اذا هذا جهاز صراف آلي لماستركارد ولا لا؟"
"تم تحصيل رسوم الدفع بالبطاقة","شكلوا تم تحصيل الرسوم عند استخدام البطاقة. مش عارف ليش، احكيلي لو سمحت."
"السحب النقدي غير معترف به","عندي سحب مصاري ما عرفته."
"حدود التعبئة","موجود حد للتعبئة؟"
"رسوم السحب النقدي","أنا أكره ماكينة الصراف الآلي هذه ، لقد فرضت علي رسوما إضافية ، فلماذا تم تحصيل رسومها؟"
"وصول البطاقة","انا لحد الان ما حصلت على بطاقتي الجديدة . وينتا بتصل هان؟"
"البطاقة لا تعمل","لا يمكنني تشغيل البطاقة نفسها."
"نقل إلى الحساب","بقدر أحول على حسابي عن طريق التطبيق ؟"
"ربط البطاقة","بقدر ارجع افعل بطافتي بعد ما لغيت نشاطها؟"
"رسوم إضافية على كشف الحساب","غرموني 1 دولار امريكي في وحدة من معاملاتي ."
"بطاقة مخترقة","في حدا ممكن يكون سارق بياناتي لأني لقيت معاملات مش لألي عحسابي. شو أعمل؟"
"تفعيل بطاقتي","احكيلي كيف أجدد بطاقتي؟"
"إرجاع الدفع بالبطاقة؟","لماذا تلقيت خصما على دفعتي بعد أسبوع؟"
"السحب النقدي غير معترف به","في سحب مصاري غريب طالع في بياني"
"المستفيد غير مسموح به","يظهر لي خطأ يفيد بأن التحويل الخاص بي غير ممكن أثناء تحويل الأموال. اسمحوا لي أن أعرف المشكلة لأنها المرة الأولى التي أتلقى فيها خطأ ، وكانت تعمل في وقت سابق."
"البطاقة لا تعمل","ليش بطاقتي مش قبلانة أي معاملات؟"
"الحصول على بطاقة فعلية","لم أحصل بعد على رقم التعريف الشخصي الخاص بي."
"فشل التعبئة","لقد طلبت تعبئة رصيد لكن ذلك لم ينعكس"
"رفض السحب النقدي","لماذا لا تعمل أجهزة الصراف الآلي عند طلب المال ؟"
"الدفع المباشر للدين غير معروف","لقد لاحظت للتو أنه من المفترض أنني قمت بالدفع للبائع منذ فترة. المشكلة هي أنني لا أتعرف على البائع. يجب أن تكون هناك طريقة لمعرفة من هو أو تتبع الدفع. هل يمكنك فعل ذلك ، لأنني لا أتذكر هذه المعاملة؟"
"الهاتف المفقود أو المسروق","لا يمكنني العثور على هاتفي أو أنه سرق."
"نسيان رمز المرور","مش فاهم ليش ما بتشتغل الرقم السري تبعي."
"سعر الصرف الخاطئ للدفع بالبطاقة","كان سعر صرف العملة لعملية شراء عملتها مش صح."
"دعم العملات الورقية","ايش العملات اللي مسموح تبادلها عندكم ؟"
"انتظار التحويل","شريت اشي من النت من يومين، و دفعت المصاري ل البياع بس هو بحكي انو ما وصلتو المصاري، شو المدة اللي بدها المصاري عشان تتحول ب اوروبا؟"
"سعر الصرف","كيف حصلتم يا رفاق على سعر الصرف الخاص بك؟"
"غير قادر على التحقق من الهوية","ما عندي هوية"
"في انتظار السحب النقدي","سحبي النقدي يقول معلق ، لماذا؟"
"ربط البطاقة","تمكنت من العثور على بطاقتي. كيف يمكنني وضعها في تطبيقي؟"
"الدفع المباشر للدين غير معروف","كيف يمكنني الاعتراض على معاملة الخصم؟"
"تحصيل رسوم التحويل","حولت مصاري، ليش انخصم مني رسوم زيادة؟"
"تم رفض الدفع بالبطاقة","لماذا لا يعمل الدفع ببطاقتي؟"
"آبل باي أو جوجل باي","أحاول استخدام ساعة آبل لزيادة راتبي على جوجل. هل أحتاج إلى تطبيق خاص؟"
"إرجاع الدفع بالبطاقة؟","تم إيقاف الدفع الخاص بي"
"البطاقة لا تعمل","ساعدوني، بطاقتي مكسورة."
"دعم أجهزة الصراف الآلي","أنا بحاجة لسحب المال. أين يمكنني أن أفعل ذلك؟"
"إرجاع الدفع بالبطاقة؟","ما زبط أدفع"
"رفض التحويل","كيف انرفض تحويلي؟"
"عادت تعبئة الرصيد","أريد أن أعرف لماذا تمت إعادة تعبئة الرصيد"
"تلقي مبلغ خاطئ من النقد","المبلغ الي طلبتو اكثر من الي اخذتو"
"دعم البلد","ايش هي الدولة اللي بتدعمها؟"
"سعر صرف خاطئ للسحب النقدي","كم سعر الصرف في اجهزة الصراف الالي"
"التعبئة عن طريق البطاقة","بدي احول مصاري باستخدام بطاقتي الائتمانية"
"في انتظار التعبئة","لدي زيادة معلقة"
"آبل باي أو جوجل باي","أرغب في الشحن من ساعة آبل ، هل يمكنني ذلك؟"
"التحقق من مصدر الأموال","بدي أعرف التفاصيل، من وين بتوصل هاي المصاري؟"
"تحقق من تعبئة الرصيد","أين رمز التحقق الخاص بي؟"
"الحصول على بطاقة احتياطية","هل يمكنني الحصول على بطاقة أخرى بالإضافة إلى بطاقتي الأولى؟"
"فشل التعبئة","لا ينكمن أن أحصل على رصيد للعمل ! ما الذي يحدث هنا"
"فشل التعبئة","مرحبا، حاولت تعبية كرتي، بس ما زبط، جبته قبل يومين وكان شغال منيح شو المشكلة بتقدر تحلها؟"
"رفض التحويل","أعتقد أنه كان هناك خطأ في نقلي."
"حدود البطاقة التي يمكن التخلص منها","ممكن تحكيلي شو هي الحدود على الكروت الافتراضية اللي من النوع اللي بقدر اتخلص منو؟"
"قبول البطاقة","أين تقبل البطاقة"
"غير قادر على التحقق من الهوية","راح نبعتلك رد عن نتائج التحقق تبعتك خلال 10 دقايق ان طارت خلال ساعة، اذا فشلت هاي النتائج بتعيد التحقق عشان نتأكد من الصورة تكون واضحة ومش معتمة، لازم الصورة للمستندات تكون واضحة لدرجة القراءة ويكون عمرك فوق ال 18 وساكن بسوسيسرا او المنطقة الاوروبية الافتصادية عشان نعملك حساب"
"تعبئة تلقائية","خيار التعبئة التلقائية وين بكون؟"
"التعبئة عن طريق شحن البطاقة","اديه رح يكلفني اذا بدي استعمل بطاقة خصم او بطاقة الائتمان لاشحن رصيد بامريكا؟"
"دعم العملات الورقية","أريد معرفة العملات التي تدعمها"
"البطاقات والعملات المدعومة","ما هي أنواع الدفع التي تقبلونها؟"
"الحصول على بطاقة فعلية","ما عندي رقم سري لهلأ."
"تحصيل رسوم التحويل","ليش انخصمت رسوم التحويل ؟"
"طلب بطاقة فعلية","كيف بطلب بطاقة لالي ؟"
"طلب بطاقة فعلية","هل سوف يكون هناك رسوم للحصول على بطاقة فعلية؟"
"الحصول على بطاقة احتياطية","احكيلي لو سمحت إذا رح أدفع عشان أطلع كمان بطاقات؟"
"فشل التعبئة","ليش بتخبي المصاري تبعاتي عني وبترفض بكرتي؟ شو في؟"
"التعبئة عن طريق البطاقة","لقد استخدمت بطاقتي في الشحن ، لكنني الآن لا أرى الأموال في حسابي."
"انهاء حساب","أنا بحاجة لإغلاق حسابي في أقرب وقت ممكن."
"لم يستلم المستلم التحويل","ما هو الاطار الزمني التي تستغرقها عملية التحويل؟ قبل بضع ساعات ارسلت المال الى صديقة ولم بصل حتى الان مع انه كانت بامس الحاجة اليه"
"فيزا أو ماستر كارد","هل من الممكن الحصول على الفيزا والماستركارد منك؟"
"ربط البطاقة","ظننت أنني فقدت بطاقتي ، فقمت بإلغائها ، لكنني وجدتها مؤخرا في سترتي وأرغب في إعادة إنشاء البطاقة."
"سعر صرف خاطئ للسحب النقدي","سعر الصرف للمصاري اللي أخذتهم في البلد الأجنبية غلط"
"لم يتم تحديث الرصيد بعد التحويل المصرفي","عملت تحويل للفلوس بس الرصيد ما تغير!"
"إلغاء التحويل","استخدمت حساب غير حسابي"
"الدفع بالبطاقة غير معترف به","لا أعتقد أنني أجريت هذه الصفقة على بياني"
"التعبئة عن طريق البطاقة","بدي اعبي البطاقة عن طريق البطاقة"
"البطاقة الافتراضية لا تعمل","وصلني معلومات بطاقتي الافتراضية بس ما قدرت استخدمها عشان اشتري اشي ليش صار هيك وشو اساوي؟"
"الهاتف المفقود أو المسروق","تركت هاتفي في الفندق الذي كنت أقيم فيه لذا لا يمكنني استخدام التطبيق!"
"نسيان رمز المرور","لقد نسيت كلمة المرور الخاصة بي."
"ربط البطاقة","كيف اشبك بطاقة الجديدة؟"
"تلقي مبلغ خاطئ من النقد","لقد حصلت على بعض النقود من ماكينة الصراف الآلي سابقا ، ولكن التطبيق يظهر أنني سحبت أكثر مما أخذت بالفعل. مساعدة!"
"تحقق من تعبئة الرصيد","بدي معلومات بتوضح عملية التأكد من بطاقة التعبئة.."
"بطاقة على وشك الانتهاء","بقدر اجيب بطاقة جديدة مع اني موجود في الصين؟"
"تم تحصيل رسوم الدفع بالبطاقة","دفعت ببطاقتي وانخصم علي رسوم زيادة."
"تم التحصيل مرتين","ليش جاي انو لازم أدفع مرتين ؟"
"سعر الصرف","بتغير سعر الصرف ؟"
"تم التحصيل مرتين","تم خصم الرسوم مرتين"
"الهاتف المفقود أو المسروق","لست متأكدا من مكان هاتفي."
"سعر الصرف الخاطئ للدفع بالبطاقة","أنا بعطلة ولاحظت انو سعر الصرف اختلف، ممكن توضح ؟"
"البطاقات والعملات المدعومة","لدي بطاقة إضافية واحدة فقط من الولايات المتحدة الأمريكية. هل تسمح بذلك؟"
"رمز التعريف الشخصي محظور","لقد أدخلت رقم التعريف الشخصي الخطأ عدة مرات والآن أعتقد أنه محظور. ماذا أفعل؟"
"الدفع بالبطاقة المعلق","لقد قمت بالدفع لكنها ما زالت معلقة"
"المستفيد غير مسموح به","ما زبط اعمل تحويل لمستفيد"
"الدفع بالبطاقة غير معترف به","هناك دفع احتيالي!"
"الحصول على بطاقة فعلية","رقم التعريف الشخصي الخاص بي ليس هنا بعد."
"رسوم إضافية على كشف الحساب","ماذا يعني الرسم 1 يورو؟"
"إلغاء التحويل","كيف بقدر اتراجع عن معاملة؟"
"بطاقة على وشك الانتهاء","ماذا أفعل بشأن بطاقتي منتهية الصلاحية؟"
"لماذا التحقق من الهوية","شو بنفعكم التحقق من الهوية؟"
"تغيير رمز التعريف الشخصي","الرجاء مساعدتي في إعداد رقم تعريف شخصي جديد."
"فيزا أو ماستر كارد","بدي بطاقة ماستركارد"
"ابتلاع البطاقة","أحكي مع مين بخصوص انو الصراف الىلي بلع الكرت تبعي؟"
"تغيير رمز التعريف الشخصي","شو هي اجهزة الصراف الي بقدر منها اغير رقمي التعريفي تاعي"
"تعبئة الرصيد نقدًا أو بشيك","كيف أقوم بتعبئة الشيك؟"
"بطاقة على وشك الانتهاء","تاريخ انتهاء صلاحية بطاقتي قادم"
"فيزا أو ماستر كارد","شو البطاقات اللي بتقدموها"
"لم يستلم المستلم التحويل","المعاملة التي استلمتها كانت ناقصة"
"تحصيل رسوم التحويل","أخطأ شخص ما في تحويل أموالي لأنني دفعت رسوما إضافية."
"تم تحصيل رسوم الدفع بالبطاقة","تم تحصيل رسوم مني عند شراء أشياء باستخدام بطاقتي."
"المستفيد غير مسموح به","حاولت تحويل الأموال إلى مستفيد ورفضت. هل تستطيع ان تقول لي لماذا؟"
"البطاقات والعملات المدعومة","بقدر أحول مصاري الكتروني لحسابي عن طريق بطاقتي الأمريكان أكسبرس؟"
"الحصول على بطاقة احتياطية","هل يمكنني الحصول على المزيد من البطاقات الفعلية؟"
"رسوم السحب النقدي","اشرح رسوم الصراف الآلي الإضافية."
"وصول البطاقة","أين بطاقتي؟"
"سعر الصرف الخاطئ للدفع بالبطاقة","سعر الصرف المطبق غير صحيح لعملية الشراء الدولية الخاصة بي."
"دعم العملات الورقية","هل لديك عملة اليورو المتاحة لي؟"
"لم يستلم المستلم التحويل","بدي تتحققلي من الدفع الايجار لصاحب البيت دفعتلو دفعة الاولى بس بحكي انو ما وصلو اشي"
"الدفع بالبطاقة غير معترف به","هناك دفعة في التطبيق لا أعرفها."
"بطاقة على وشك الانتهاء","هل يمكنني الحصول على بطاقة جديدة بالرغم من وجودي في الصين؟"
"توقيت التحويل","كم بقعد التحويل الأوروبي؟"
"سعر الصرف الخاطئ للدفع بالبطاقة","سعر الصرف لسدادتي الإلكترونية مش صحيح"
"في انتظار التعبئة","لماذا لا يوجد تحديث على البطاقة على الرغم انني قمت بتعبئتها؟"
"حدود التعبئة","بقد اعبي أي مبلغ؟"
"تم تحصيل رسوم الدفع بالبطاقة","ما هي أسباب فرض رسوم على مدفوعات البطاقات؟"
"تم تحصيل رسوم الدفع بالبطاقة","ليش بتحاسب لما استخدم بطاقتي؟"
"وصول البطاقة","متى سيتم تسليم بطاقتي الجديدة؟"
"الحصول على بطاقة فعلية","أين يوجد رقم التعريف الشخصي الخاص ببطاقتي؟"
"تم رفض الدفع بالبطاقة","ما قبلو دفعتي ! شو صار ، كلشي كان يشتغل منيح"
"فشل التحويل","كيف المفروض يشتغل هاد النقل؟ مش زابط معي"
"سعر صرف خاطئ للسحب النقدي","تم إفساد سعر الصرف من أجهزة الصراف الآلي"
"تحصيل رسوم التحويل","المفروض تكون التحويلات مجانية وانخصم مني هلأ على اشي شريتو من برا كيف بقدرألغي الرسوم الي دفعتها"
"إعادة الشحن عن طريق رسوم التحويل المصرفي","كم رح يكلفني تحويل المصاري عن طريق حوالة باليورو؟"
"الحصول على بطاقة افتراضية","محتاج البطاقة الافتراضية تبعتي"
"ابتلاع البطاقة","الصراف الآلي ما بده يرجع كرت البنك تاعي"
"تلقي الأموال","كيف يرسل المرء لي المال؟"
"الصرف عبر التطبيق","كيف احول عملات؟"
"لم يستلم المستلم التحويل","لقد أرسلت أموالا للتو ولكن الشخص الذي أرسلتها إليه لا يراها. ماذا حدث؟"
"توقيت التحويل","متى سيصل المال إلى حسابي؟"
"وصول البطاقة","كيف أعرف ايمتى بتوصل بطاقتي؟"
"تم التحصيل مرتين","لقد أجريت دفعة ويبدو أنها تظهر مرتين"
"سعر الصرف الخاطئ للدفع بالبطاقة","ليش يختلف سعر الصرف عن ما توقعته ؟"
"وصول البطاقة","لم يتم تسليم بطاقتي الجديدة إلى منزلي بعد. ما الذي يجري؟"
"وصول البطاقة","كيف فيي أتتبع البطاقة الي بعتلي اياها؟"
"البطاقات والعملات المدعومة","شو هي العملات المقبولة لنضيف مصاري؟"
"تم رفض الدفع بالبطاقة","الدفع ببطاقتك ما نجح"
"نقل إلى الحساب","أود تحويل الأموال إلى حسابي."
"تحرير التفاصيل الشخصية","أود تغيير بياناتي الشخصية."
"في انتظار السحب النقدي","سحبت من النقد بس لسا المعاملة بتعطيني انها معلقة"
"الحصول على بطاقة احتياطية","هل بطاقة الخصم الجديدة مجانية؟"
"انتظار التحويل","شو سبب انو تحويلي مبين موقف؟"
"رفض السحب النقدي","مرحبا ، لا يمكنني استخدام بطاقتي في أجهزة الصراف الآلي. لقد جربت بطاقتي في جهازي صراف آلي ولكن كلا الجهازين رفضا ذلك. هل يمكنك التحقق من حسابي من فضلك؟"
"فشل التعبئة","ما هي المشكلة؟ يتم رفض تعبئة شحن بطاقتي باستمرار. اريد ان اعلم ما الذي يجري."
"حد السن","بدي افتح حساب لابني"
"ربط البطاقة","أين يمكنني ربط بطاقة جديدة في التطبيق؟"
"حدود البطاقة التي يمكن التخلص منها","بقدر اوخد كمان بطاقات من الي بنستخدمها مرة وحدة وبس ؟"
"استرداد الأموال غير مرئي","أتحقق باستمرار لمعرفة ما إذا كنت قد تلقيت استردادا طلبته من البائع ، لكنني لا أرى المبلغ المسترد. أحتاج منك مساعدتي في استرداد المبلغ المدفوع."
"التعبئة عن طريق البطاقة","ما هي الخطوات التي يجب أن أفعلها لتحويل الأموال باستخدام بطاقتي الائتمانية؟"
"حد السن","حتى يعملو لولاد الصغار حساب شو لازم يكون عمرهم؟"
"آبل باي أو جوجل باي","شكله الراتب تبعي على جوجل بتغير."
"الحصول على بطاقة فعلية","ازن، شو بالنسبة للرقم السري تبع البطاقة؟"
"لماذا التحقق من الهوية","لدي حساب بالفعل. لماذا لا يمكنني استخدامه ما لم يتم التحقق من هويتي؟"
"التحقق من مصدر الأموال","من وين إجى هاد المبلغ؟"
"الصرف عبر التطبيق","هل صرف العملات ممكن؟"
"تم رفض الدفع بالبطاقة","ليش رفضو دفعتي ؟ لساتني بجرب بس مش راضية تشتغل"
"طلب بطاقة فعلية","كم حق البطاقة وليش ما حاسبتني؟"
"فيزا أو ماستر كارد","بتوخذ فيزا وماستر كارد؟"
"الهاتف المفقود أو المسروق","بدي حدا يساعدني، انسرق جوالي."
"الدفع المباشر للدين غير معروف","مهلا ، أعتقد أن شخصا ما سرق أرقام بطاقتي. هناك عملية شراء تظهر على تطبيقي من متجر بعيد جدا عني .. أحتاج حقا إلى استرداد هذا المال لسداد إيجاري."
"نسيان رمز المرور","مش ملاقي الرمز تبعي."
"الدفع المباشر للدين غير معروف","لدي دفعة خصم مباشر غير معروفة في حسابي"
"دعم العملات الورقية","كيف يمكنني المضي قدما في الاحتفاظ بالمال بعملات متعددة؟"
"غير قادر على التحقق من الهوية","لن يسمح لي بإثبات هويتي."
"تم رفض الدفع بالبطاقة","تم رفض الدفع بالبطاقة ، هل تعلم لماذا؟"
"لم يتم تحديث الرصيد بعد التحويل المصرفي","قديش بلزم وقت عشان يكون التحويل موجود؟"
"وصول البطاقة","ليه بعدها بطاقتي الجديدة ما وصلت؟"
"الحصول على بطاقة احتياطية","اكم بكلف تطليع بطاقات زيادة؟"
"فشل التعبئة","رصيدي ما زبط"
"إلغاء التحويل","مرحبا ، لقد أجريت عملية تحويل أمس وأحتاج إلى عكسها. أحتاج إلى وضع المال في حساب مختلف."
"حدود البطاقة التي يمكن التخلص منها","في حدود للمعاملات على البطاقة الي بقدر أستعملها بس لمرة وحدة؟"
"المستفيد غير مسموح به","ليش ما بقدر اشتري عملة مشفرة على التطبيق؟"
"سعر الصرف","شو اسعار الصرف الحالية بين البنوك؟"
"رسوم الصرف","كديش تكلفة صرف العملات؟"
"بطاقة على وشك الانتهاء","هل يمكنني الاستمرار في استخدام بطاقتي بعد انتهاء صلاحيتها؟"
"نقل إلى الحساب","كيف ممكن أشحن حسابي بالتحويل ؟"
"إعادة الشحن عن طريق رسوم التحويل المصرفي","هل هناك رسوم للحصول على أموالي؟"
"ربط البطاقة","لقد وجدت بطاقتي القديمة. هل يمكنني إعادة ربطها بالتطبيق؟"
"رسوم السحب النقدي","مش لازم تكون هاي الرسوم موجودة ، دفعت مصاري على اشي ملوش داعي"
"رسوم السحب النقدي","بدي اوخد شوية مصاري من الصراف من كرتي بس ما بدي يصير عليي رسوم. سحبت شوية مصاري من الصراف من قبل بدون رسوم بس بعدين صار عليي رسوم. ليش؟"
"المستفيد غير مسموح به","فلوسي لسا ممرتش بعد ما حولت"
"تحصيل رسوم التحويل","أنا بس عامل تحويل، ليش في مصاري انخصمت؟"
"لم يتم تحديث الرصيد بعد التحويل المصرفي","كم بوخذ تحويل الفلوس؟ لان ما ارتصد اشي في حسابي"
"لم يتم تحديث الرصيد بعد التحويل المصرفي","المصاري اللي حولتهم مش موجودين بحسابي"
"استرداد الأموال غير مرئي","ممكن تتأكدلي من آخر مبلغ وصلني في البيان"
"تحقق من هويتي","ما هي نوعية المستندات الضرورية للتحقق من هويتي"
"لم يتم تحديث الرصيد بعد الشيك أو الإيداع النقدي","لقد قمت بإيداع نقدي منذ بضعة أيام ولا يزال غير موجود في حسابي. هل تعرف ما يمكن أن حدث؟"
"سعر صرف خاطئ للسحب النقدي","لقد تم تحصيل سعر صرف غير صحيح لي مقابل السحب."
"البطاقات والعملات المدعومة","هل أمريكان إكسبريس مدعوم لإضافة أموال إلى حسابي؟"
"تفعيل بطاقتي","شو مطلوب مني أعمل عشان أفعل البطاقة؟"
"حد السن","بتقدموا حسابات للقاصرين بالسن؟"
"سعر صرف خاطئ للسحب النقدي","بتوقع في غلط حساب سعر الصرف، اخر فترة سحبت مصاري واستلمت اقل بكثير مما توقعت"
"تحصيل رسوم التحويل","لماذا تم تحصيل رسوم مني مقابل التحويل الخاص بي؟"
"الحصول على بطاقة افتراضية يمكن التخلص منها","ممكن تحكيلي من وين في اطلب بطاقة افتراضية ممكن التخلص منها؟"
"سعر صرف خاطئ للسحب النقدي","ليش رسوم سحب المصاري غالية كثير؟ حاسس انه انطلب مني سعر زيادة و لو كنت أعرف هيك من قبل كان ما استخدمت جهاز الصرف الآلي"
"انتظار التحويل","ليش التحويل المعلق ما خلص؟"
"تعبئة تلقائية","وين بلاقي التعبئة التلقائية؟"
"المستفيد غير مسموح به","لماذا المستفيد الخاص بي غير معتمد؟"
"استرداد الأموال غير مرئي","ممكن تحكيلي عن حالة الطلب ترجيع المصاري تاعتي بعد عملية شراء عملتها قبل فترة حكيت مع التاجر قبل أسبوع بس لسا ما صار إشي"
"السحب النقدي غير معترف به","مبين انه في مصاري عالتطبيق بس موصلنيش اشي."
"الدفع بالبطاقة غير معترف به","في دفع بالبطاقة لحدا ما بعرفو"
"بطاقة مخترقة","عملت لحسابي تجميد، كيف أطلب بطاقة بديلة؟"
"فشل التحويل","ما قدرت اعمل تحويل"
"سعر الصرف الخاطئ للدفع بالبطاقة","اظن ان سعر الصرف لمدفوعاتي مش صحيح، وفرضت علي رسوم زيادة يوم السبت الماضي"
"رفض السحب النقدي","بيضلو الصراف يرفض معاملتي. لهسا جربت صرافين وما زبط وا التنين ممكن تتأكدلي من حسابي"
"المستفيد غير مسموح به","ليش مش نافع اضيف اي مستفيد تاني؟"
"دعم أجهزة الصراف الآلي","هاي البطاقة مخصصة لنوع معين من اجهزة صراف الآلي؟"
"عادت تعبئة الرصيد","بجوز رجع رصيدي"
"إلغاء التحويل","هل يمكنني إلغاء معاملة؟"
